NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_BLOCO;NU_POSICAO;CO_ITEM;TP_SERIE;TP_DISCIPLINA;NU_DESCRITOR_HABILIDADE;DS_GABARITO;TP_RESPOSTA_ITEM;TP_MODELO_TRI;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;NU_PARAM_B1;NU_PARAM_B2;NU_PARAM_B3;NU_PARAM_B4;IN_ITEM_COMUM
2025;23;CE;8;1;50;2;1;D05;B;3;2;0.034140000000000;705.588730000000000;0.220140000000000;;;;;0
2025;23;CE;9;1;49;2;1;D05;A;3;2;0.038690000000000;744.632380000000000;0.194450000000000;;;;;0
2025;23;CE;13;2;48;2;1;D09;;2;3;0.031040000000000;;;658.796770000000000;673.064340000000000;697.098380000000000;756.772930000000000;0
2025;23;CE;11;2;47;2;1;D09;;2;3;0.025820000000000;;;645.340460000000000;666.038330000000000;706.092480000000000;772.111270000000000;0
2025;23;CE;12;1;45;2;1;D09;;2;3;0.028490000000000;;;636.571830000000000;648.712420000000000;661.533800000000000;691.443140000000000;0
2025;23;CE;11;1;44;2;1;D09;;2;3;0.026270000000000;;;616.085320000000000;624.829080000000000;634.730060000000000;670.250900000000000;0
2025;23;CE;3;4;117404;2;1;D02;A;3;2;0.050980000000000;664.132130000000000;0.316640000000000;;;;;1
2025;23;CE;1;2;117474;2;1;D01;C;3;2;0.027600000000000;676.112640000000000;0.083530000000000;;;;;1
2025;23;CE;5;4;122;2;1;D06;X;3;2;;;;;;;;0
2025;23;CE;2;2;117411;2;1;D01;B;3;2;0.025230000000000;623.313180000000000;0.106540000000000;;;;;1
2025;23;CE;6;3;124;2;1;D06;A;3;2;0.050840000000000;727.968060000000000;0.269180000000000;;;;;0
2025;23;CE;5;3;126;2;1;D05;C;3;2;0.050420000000000;724.679450000000000;0.226990000000000;;;;;0
2025;23;CE;12;9;43;2;1;D10;;1;3;0.035140000000000;;;732.623920000000000;793.623290000000000;;;0
2025;23;CE;11;8;42;2;1;D10;;1;3;0.037700000000000;;;743.392020000000000;781.085580000000000;838.436540000000000;;0
2025;23;CE;12;8;42;2;1;D10;;1;3;0.037700000000000;;;743.392020000000000;781.085580000000000;838.436540000000000;;0
2025;23;CE;13;8;42;2;1;D10;;1;3;0.037700000000000;;;743.392020000000000;781.085580000000000;838.436540000000000;;0
2025;23;CE;11;7;41;2;1;D10;;1;3;0.030690000000000;;;805.411830000000000;864.597650000000000;894.460040000000000;;0
2025;23;CE;13;9;43;2;1;D10;;1;3;0.035140000000000;;;732.623920000000000;793.623290000000000;;;0
